time,gFx,gFy,gFz,TgF
0.641158,0.6870,0.0635,0.7357,1.009
0.644072,0.6858,0.0642,0.7374,1.009
0.646146,0.6875,0.0625,0.7388,1.011
0.657273,0.6848,0.0642,0.7393,1.010
0.658300,0.6868,0.0640,0.7420,1.013
0.658826,0.6855,0.0623,0.7428,1.013
0.659321,0.6853,0.0638,0.7454,1.015
0.659821,0.6860,0.0635,0.7437,1.014
0.661007,0.6870,0.0623,0.7454,1.016
0.662849,0.6848,0.0630,0.7435,1.013
0.670844,0.6865,0.0606,0.7452,1.015
0.671732,0.6858,0.0616,0.7447,1.014
0.672011,0.6873,0.0623,0.7454,1.016
0.672760,0.6870,0.0635,0.7437,1.014
0.675125,0.6873,0.0623,0.7440,1.015
0.677897,0.6892,0.0611,0.7445,1.016
0.683063,0.6875,0.0613,0.7440,1.015
0.684353,0.6877,0.0630,0.7432,1.015
0.685354,0.6887,0.0611,0.7418,1.014
0.687980,0.6877,0.0620,0.7401,1.012
0.690355,0.6895,0.0625,0.7391,1.013
0.692696,0.6899,0.0616,0.7371,1.012
0.695670,0.6895,0.0616,0.7381,1.012
0.700576,0.6907,0.0598,0.7366,1.012
0.701561,0.6907,0.0603,0.7406,1.014
0.702753,0.6907,0.0596,0.7379,1.012
0.705706,0.6897,0.0601,0.7384,1.012
0.708291,0.6897,0.0574,0.7376,1.011
0.711533,0.6907,0.0567,0.7376,1.012
0.712520,0.6897,0.0569,0.7391,1.013
0.716956,0.6904,0.0550,0.7388,1.013
0.718034,0.6887,0.0567,0.7403,1.013
0.720858,0.6899,0.0567,0.7388,1.012
0.722342,0.6892,0.0547,0.7403,1.013
0.724757,0.6882,0.0567,0.7408,1.013
0.727410,0.6887,0.0559,0.7408,1.013
0.729666,0.6865,0.0557,0.7418,1.012
0.733499,0.6880,0.0542,0.7401,1.012
0.735334,0.6855,0.0550,0.7435,1.013
0.737401,0.6848,0.0562,0.7435,1.012
0.739707,0.6853,0.0576,0.7445,1.014
0.742119,0.6863,0.0564,0.7435,1.013
0.745961,0.6865,0.0559,0.7452,1.015
0.749675,0.6843,0.0555,0.7450,1.013
0.750947,0.6860,0.0557,0.7432,1.013
0.752086,0.6855,0.0562,0.7445,1.014
0.755005,0.6855,0.0581,0.7445,1.014
0.756904,0.6868,0.0559,0.7462,1.016
0.759484,0.6863,0.0550,0.7464,1.015
0.761860,0.6875,0.0542,0.7442,1.015
0.766753,0.6890,0.0550,0.7447,1.016
0.767750,0.6875,0.0579,0.7462,1.016
0.769456,0.6890,0.0569,0.7467,1.018
0.771682,0.6885,0.0598,0.7452,1.016
0.774495,0.6902,0.0584,0.7447,1.017
0.776410,0.6914,0.0581,0.7435,1.017
0.778955,0.6904,0.0589,0.7447,1.017
0.791429,0.6912,0.0581,0.7435,1.017
0.792440,0.6914,0.0576,0.7445,1.018
0.792955,0.6904,0.0564,0.7423,1.015
0.793456,0.6926,0.0581,0.7428,1.017
0.793941,0.6921,0.0586,0.7430,1.017
0.794428,0.6924,0.0594,0.7425,1.017
0.796244,0.6914,0.0608,0.7437,1.017
0.807078,0.6924,0.0576,0.7413,1.016
0.807989,0.6926,0.0603,0.7413,1.016
0.808287,0.6909,0.0598,0.7420,1.016
0.808644,0.6912,0.0603,0.7432,1.017
0.808921,0.6909,0.0589,0.7418,1.015
0.810983,0.6941,0.0611,0.7410,1.017
0.813255,0.6909,0.0611,0.7430,1.016
0.816518,0.6919,0.0630,0.7396,1.015
0.818196,0.6946,0.0655,0.7393,1.017
0.821164,0.6929,0.0650,0.7398,1.016
0.823492,0.6926,0.0647,0.7398,1.016
0.825578,0.6921,0.0623,0.7386,1.014
0.828092,0.6931,0.0608,0.7386,1.015
0.832861,0.6909,0.0603,0.7384,1.013
0.833693,0.6907,0.0608,0.7384,1.013
0.836037,0.6909,0.0576,0.7369,1.012
0.838492,0.6914,0.0572,0.7379,1.013
0.841250,0.6921,0.0598,0.7386,1.014
0.843082,0.6917,0.0589,0.7366,1.012
0.845416,0.6919,0.0601,0.7354,1.012
0.849804,0.6895,0.0589,0.7364,1.010
0.851313,0.6902,0.0601,0.7352,1.010
0.852890,0.6897,0.0596,0.7357,1.010
0.856033,0.6897,0.0606,0.7349,1.010
0.858024,0.6899,0.0608,0.7337,1.009
0.860703,0.6892,0.0613,0.7359,1.010
0.862848,0.6897,0.0620,0.7352,1.010
0.866782,0.6904,0.0620,0.7354,1.011
0.868344,0.6885,0.0628,0.7379,1.011
0.870272,0.6899,0.0613,0.7376,1.012
0.872474,0.6919,0.0633,0.7376,1.013
0.875615,0.6926,0.0628,0.7379,1.014
0.877590,0.6929,0.0598,0.7384,1.014
0.880455,0.6939,0.0601,0.7384,1.015
0.883866,0.6914,0.0581,0.7354,1.011
0.884929,0.6936,0.0598,0.7391,1.015
0.887708,0.6934,0.0594,0.7398,1.016
0.890349,0.6936,0.0576,0.7393,1.015
0.892346,0.6956,0.0581,0.7393,1.017
0.895347,0.6963,0.0567,0.7376,1.016
0.908556,0.6982,0.0576,0.7401,1.019
0.909580,0.6982,0.0564,0.7408,1.020
0.910248,0.6978,0.0567,0.7406,1.019
0.910734,0.6980,0.0562,0.7420,1.020
0.911206,0.6980,0.0555,0.7413,1.020
0.911685,0.6953,0.0559,0.7403,1.017
0.912164,0.6970,0.0576,0.7423,1.020
0.924068,0.6960,0.0581,0.7401,1.018
0.925003,0.6958,0.0562,0.7396,1.017
0.925345,0.6963,0.0594,0.7398,1.018
0.925632,0.6953,0.0606,0.7381,1.016
0.925913,0.6963,0.0576,0.7388,1.017
0.926509,0.6956,0.0591,0.7398,1.017
0.929444,0.6960,0.0601,0.7398,1.018
0.933354,0.6946,0.0613,0.7371,1.015
0.934846,0.6936,0.0613,0.7366,1.014
0.936239,0.6946,0.0591,0.7393,1.016
0.938596,0.6941,0.0608,0.7386,1.015
0.941493,0.6909,0.0591,0.7349,1.010
0.944701,0.6921,0.0611,0.7352,1.012
0.946732,0.6914,0.0630,0.7362,1.012
0.950308,0.6904,0.0606,0.7349,1.010
0.951948,0.6895,0.0606,0.7349,1.010
0.954204,0.6907,0.0606,0.7352,1.011
0.956471,0.6899,0.0618,0.7352,1.010
0.958665,0.6885,0.0594,0.7340,1.008
0.962824,0.6873,0.0589,0.7345,1.008
0.967321,0.6899,0.0586,0.7345,1.009
0.968408,0.6877,0.0594,0.7357,1.009
0.968942,0.6873,0.0572,0.7376,1.010
0.971183,0.6858,0.0564,0.7384,1.009
0.973803,0.6868,0.0564,0.7376,1.009
0.976349,0.6860,0.0574,0.7406,1.011
0.978749,0.6873,0.0589,0.7423,1.013
0.983199,0.6868,0.0574,0.7425,1.013
0.984593,0.6877,0.0574,0.7442,1.015
0.985933,0.6868,0.0555,0.7428,1.013
0.988790,0.6880,0.0550,0.7432,1.014
0.991359,0.6868,0.0559,0.7452,1.015
0.993138,0.6902,0.0562,0.7445,1.017
0.995655,0.6880,0.0550,0.7425,1.014
0.999634,0.6904,0.0550,0.7435,1.016
1.001326,0.6912,0.0572,0.7442,1.017
1.003204,0.6919,0.0559,0.7437,1.017
1.006110,0.6904,0.0547,0.7403,1.014
1.008320,0.6892,0.0562,0.7423,1.014
1.011125,0.6904,0.0559,0.7384,1.012
1.013040,0.6885,0.0550,0.7410,1.013
1.025906,0.6873,0.0557,0.7406,1.012
1.027441,0.6885,0.0574,0.7386,1.011
1.028186,0.6873,0.0550,0.7386,1.010
1.028738,0.6846,0.0555,0.7386,1.009
1.029377,0.6846,0.0547,0.7376,1.008
1.041652,0.6841,0.0552,0.7369,1.007
1.042991,0.6819,0.0555,0.7369,1.006
1.043457,0.6811,0.0562,0.7381,1.006
1.043889,0.6807,0.0564,0.7369,1.005
1.044480,0.6785,0.0562,0.7362,1.003
1.044917,0.6787,0.0562,0.7347,1.002
1.045462,0.6809,0.0562,0.7386,1.006
1.045870,0.6787,0.0555,0.7371,1.004
1.050362,0.6777,0.0601,0.7366,1.003
1.052630,0.6789,0.0591,0.7386,1.005
1.052900,0.6780,0.0608,0.7393,1.005
1.054796,0.6780,0.0603,0.7388,1.005
1.057123,0.6775,0.0625,0.7384,1.004
1.059241,0.6787,0.0655,0.7403,1.006
1.061822,0.6780,0.0674,0.7384,1.005
1.066563,0.6819,0.0660,0.7425,1.010
1.067237,0.6836,0.0696,0.7420,1.011
1.069936,0.6838,0.0713,0.7437,1.013
1.072460,0.6848,0.0701,0.7440,1.014
1.075135,0.6846,0.0716,0.7440,1.014
1.077725,0.6880,0.0735,0.7457,1.017
1.080299,0.6885,0.0723,0.7462,1.018
1.083135,0.6895,0.0733,0.7440,1.017
1.084749,0.6904,0.0735,0.7457,1.019
1.088270,0.6931,0.0752,0.7425,1.019
1.090661,0.6973,0.0740,0.7452,1.023
1.092628,0.6963,0.0738,0.7457,1.023
1.096200,0.6968,0.0743,0.7428,1.021
1.096638,0.6973,0.0745,0.7430,1.022
1.101053,0.6980,0.0723,0.7410,1.021
1.101737,0.6997,0.0730,0.7413,1.022
1.105766,0.7009,0.0730,0.7410,1.023
1.107513,0.6987,0.0735,0.7403,1.021
1.110212,0.6990,0.0743,0.7401,1.021
1.113546,0.6997,0.0750,0.7384,1.020
1.114910,0.6978,0.0743,0.7393,1.019
1.117287,0.6987,0.0718,0.7364,1.018
1.119819,0.7000,0.0713,0.7374,1.019
1.122252,0.6987,0.0730,0.7362,1.018
1.125179,0.6963,0.0721,0.7391,1.018
1.127610,0.6941,0.0708,0.7352,1.014
1.129727,0.6956,0.0686,0.7359,1.015
1.131605,0.6936,0.0686,0.7345,1.013
1.138144,0.6917,0.0694,0.7340,1.011
1.138722,0.6904,0.0694,0.7342,1.010
1.138967,0.6877,0.0679,0.7320,1.007
1.142504,0.6880,0.0657,0.7352,1.009
1.144462,0.6853,0.0664,0.7369,1.008
1.149220,0.6838,0.0650,0.7374,1.008
1.149543,0.6836,0.0652,0.7362,1.007
1.152980,0.6846,0.0655,0.7376,1.008
1.153505,0.6841,0.0655,0.7357,1.007
1.161102,0.6821,0.0655,0.7396,1.008
1.161581,0.6811,0.0657,0.7418,1.009
1.161879,0.6819,0.0652,0.7406,1.009
1.166083,0.6811,0.0660,0.7418,1.009
1.166691,0.6811,0.0672,0.7430,1.010
1.167772,0.6809,0.0674,0.7440,1.011
1.170895,0.6826,0.0657,0.7430,1.011
1.173007,0.6836,0.0669,0.7430,1.012
1.175210,0.6851,0.0674,0.7425,1.013
1.177706,0.6882,0.0694,0.7442,1.016
1.180121,0.6902,0.0691,0.7435,1.017
1.183078,0.6926,0.0696,0.7423,1.018
1.184989,0.6909,0.0691,0.7440,1.018
1.187854,0.6921,0.0708,0.7425,1.018
1.190336,0.6943,0.0723,0.7410,1.018
1.192257,0.6948,0.0743,0.7415,1.019
1.194910,0.6973,0.0752,0.7386,1.019
1.198198,0.6965,0.0767,0.7381,1.018
1.200215,0.6978,0.0750,0.7379,1.018
1.202364,0.6973,0.0750,0.7388,1.019
1.205322,0.6963,0.0774,0.7381,1.018
1.207209,0.6960,0.0784,0.7388,1.018
1.209569,0.6968,0.0779,0.7386,1.018
1.212836,0.6958,0.0762,0.7391,1.018
1.215661,0.6968,0.0767,0.7403,1.020
1.217160,0.6982,0.0735,0.7403,1.020
1.219622,0.6960,0.0757,0.7401,1.019
1.222146,0.6953,0.0757,0.7398,1.018
1.225200,0.6956,0.0747,0.7410,1.019
1.227059,0.6946,0.0743,0.7393,1.017
1.229619,0.6931,0.0757,0.7396,1.016
1.232598,0.6929,0.0726,0.7415,1.017
1.234429,0.6948,0.0730,0.7413,1.019
1.237372,0.6931,0.0716,0.7423,1.018
1.239354,0.6939,0.0716,0.7396,1.017
1.242261,0.6924,0.0718,0.7381,1.015
1.245348,0.6914,0.0721,0.7401,1.015
1.256837,0.6917,0.0706,0.7398,1.015
1.257800,0.6919,0.0730,0.7398,1.016
1.258414,0.6904,0.0699,0.7408,1.015
1.258921,0.6926,0.0728,0.7391,1.016
1.259411,0.6931,0.0708,0.7398,1.016
1.260006,0.6921,0.0708,0.7384,1.015
1.262015,0.6919,0.0706,0.7386,1.015
1.273902,0.6909,0.0691,0.7391,1.014
1.274982,0.6921,0.0682,0.7388,1.015
1.275461,0.6939,0.0696,0.7396,1.016
1.275900,0.6936,0.0684,0.7396,1.016
1.276327,0.6941,0.0701,0.7366,1.015
1.276744,0.6948,0.0701,0.7393,1.017
1.278911,0.6943,0.0704,0.7374,1.015
1.281098,0.6936,0.0696,0.7347,1.013
1.284569,0.6941,0.0689,0.7354,1.014
1.286235,0.6929,0.0674,0.7357,1.013
1.289111,0.6917,0.0674,0.7345,1.011
1.291259,0.6897,0.0662,0.7366,1.011
1.293231,0.6885,0.0691,0.7347,1.009
1.295772,0.6907,0.0655,0.7362,1.012
1.299463,0.6907,0.0684,0.7379,1.013
1.300912,0.6904,0.0674,0.7396,1.014
