time,wx (rad/s),wy (rad/s),wz (rad/s)
0.888088,-0.01,-0.01,-0.00
0.893266,-0.01,-0.01,0.00
0.894144,-0.01,-0.01,-0.00
0.896216,-0.00,-0.01,-0.00
0.897475,-0.00,-0.01,0.00
0.899572,-0.00,-0.01,0.00
0.901978,-0.01,-0.01,0.00
0.908402,-0.00,-0.01,0.00
0.909343,-0.00,-0.02,0.00
0.909788,-0.00,-0.02,0.00
0.912402,-0.00,-0.02,0.00
0.914511,-0.01,-0.02,0.00
0.918562,-0.00,-0.02,0.00
0.920964,-0.00,-0.02,0.00
0.922317,-0.01,-0.02,0.00
0.932334,-0.00,-0.02,0.00
0.933207,-0.00,-0.02,0.00
0.933695,-0.01,-0.02,0.00
0.934090,-0.01,-0.02,0.00
0.958288,-0.01,-0.01,0.00
0.959577,-0.01,-0.02,0.00
0.959884,-0.01,-0.01,0.00
0.960118,-0.01,-0.01,-0.00
0.960326,-0.01,-0.01,0.00
0.960578,-0.01,-0.01,-0.00
0.960790,-0.00,-0.01,-0.00
0.960988,-0.01,-0.01,0.00
0.961185,-0.01,-0.01,-0.00
0.961378,-0.01,-0.01,0.00
0.961564,-0.01,-0.01,-0.00
0.961761,-0.00,-0.01,-0.00
0.964766,-0.01,-0.01,-0.00
0.967556,-0.01,-0.00,-0.00
0.969385,-0.01,-0.00,-0.00
0.971097,-0.00,-0.00,0.00
0.975058,-0.01,0.00,-0.00
0.978597,-0.00,0.00,-0.00
0.979769,-0.01,0.01,0.00
0.981068,-0.01,0.01,0.00
0.983638,-0.01,0.01,0.00
0.985873,-0.01,0.01,0.00
0.991880,-0.01,0.01,0.00
0.993120,-0.01,0.01,0.00
0.994585,-0.01,0.02,-0.00
0.995838,-0.00,0.01,0.00
0.999513,-0.01,0.02,0.00
1.002462,-0.01,0.02,0.00
1.004594,-0.01,0.02,0.00
1.006187,-0.01,0.02,0.00
1.009839,-0.01,0.02,-0.00
1.011521,-0.01,0.02,0.00
1.015135,-0.01,0.02,0.00
1.016806,-0.01,0.02,0.00
1.018344,-0.01,0.02,0.00
1.020679,-0.01,0.02,0.00
1.025166,-0.01,0.02,-0.00
1.027068,-0.01,0.02,0.00
1.028872,-0.01,0.02,0.00
1.031078,-0.01,0.02,0.00
1.033209,-0.01,0.02,0.00
1.038056,-0.01,0.02,-0.00
1.042122,-0.01,0.02,0.00
1.043136,-0.01,0.02,0.00
1.043576,-0.01,0.02,0.00
1.045728,-0.01,0.02,0.00
1.049814,-0.01,0.02,0.00
1.051580,-0.01,0.02,0.00
1.054129,-0.01,0.02,-0.00
1.055548,-0.01,0.02,0.00
1.065410,-0.01,0.02,0.00
1.066304,-0.01,0.02,-0.00
1.067003,-0.01,0.02,-0.00
1.067398,-0.01,0.02,-0.00
