time,wx (rad/s),wy (rad/s),wz (rad/s)
1.066139,1.16,-2.01,-0.40
1.066466,1.20,-2.09,-0.40
1.067293,1.25,-2.16,-0.40
1.071827,1.31,-2.21,-0.41
1.072996,1.36,-2.26,-0.42
1.073866,1.41,-2.29,-0.44
1.076757,1.46,-2.31,-0.46
1.078996,1.52,-2.33,-0.49
1.082701,1.57,-2.33,-0.51
1.084449,1.62,-2.33,-0.54
1.087438,1.68,-2.33,-0.58
1.088708,1.72,-2.32,-0.61
1.090810,1.78,-2.30,-0.65
1.094631,1.82,-2.29,-0.69
1.096836,1.87,-2.27,-0.73
1.098115,1.90,-2.25,-0.77
1.100643,1.95,-2.22,-0.82
1.103423,1.98,-2.18,-0.87
1.107022,2.00,-2.14,-0.93
1.109370,2.03,-2.10,-1.00
1.110720,2.05,-2.05,-1.06
1.113427,2.08,-2.00,-1.13
1.116949,2.10,-1.96,-1.20
1.119590,2.12,-1.92,-1.28
1.122634,2.14,-1.87,-1.34
1.123685,2.16,-1.84,-1.41
1.125868,2.18,-1.81,-1.47
1.130161,2.20,-1.77,-1.53
1.132114,2.22,-1.73,-1.59
1.133379,2.24,-1.70,-1.64
1.135743,2.25,-1.67,-1.69
1.146161,2.27,-1.65,-1.74
1.147142,2.27,-1.62,-1.79
1.147540,2.27,-1.61,-1.84
1.148076,2.28,-1.59,-1.89
1.148481,2.27,-1.58,-1.93
1.150707,2.27,-1.58,-1.98
1.179518,2.26,-1.60,-2.02
1.180521,2.26,-1.61,-2.07
1.180739,2.25,-1.64,-2.10
1.181011,2.24,-1.67,-2.14
1.181201,2.23,-1.70,-2.16
1.181394,2.22,-1.74,-2.18
1.181642,2.21,-1.78,-2.20
1.181841,2.20,-1.81,-2.21
1.182407,2.20,-1.86,-2.21
1.182588,2.19,-1.90,-2.20
1.182775,2.19,-1.93,-2.19
1.182966,2.17,-1.96,-2.17
1.183157,2.18,-1.97,-2.14
1.188223,2.17,-1.98,-2.11
1.188835,2.18,-1.99,-2.08
1.190870,2.18,-1.98,-2.04
1.193393,2.18,-1.95,-1.99
1.194514,2.18,-1.92,-1.94
1.197112,2.18,-1.88,-1.88
1.199849,2.18,-1.82,-1.81
1.205679,2.19,-1.76,-1.74
1.206596,2.20,-1.69,-1.67
1.208384,2.19,-1.61,-1.60
1.209965,2.18,-1.52,-1.53
1.213078,2.18,-1.44,-1.46
1.215899,2.16,-1.37,-1.40
1.217697,2.15,-1.30,-1.35
1.221862,2.13,-1.24,-1.31
1.222724,2.10,-1.19,-1.27
1.226263,2.07,-1.15,-1.25
1.228477,2.04,-1.13,-1.23
1.230296,2.02,-1.10,-1.22
1.231866,1.99,-1.08,-1.22
1.234218,1.96,-1.06,-1.21
1.242275,1.93,-1.06,-1.21
1.243369,1.91,-1.06,-1.21
1.244104,1.88,-1.06,-1.21
1.244493,1.85,-1.06,-1.21
1.246648,1.82,-1.06,-1.21
1.250435,1.79,-1.06,-1.21
1.255756,1.76,-1.05,-1.22
1.256752,1.72,-1.05,-1.22
1.257043,1.68,-1.04,-1.23
1.259050,1.64,-1.03,-1.24
1.262029,1.60,-1.00,-1.25
1.264378,1.57,-0.97,-1.27
1.268278,1.54,-0.94,-1.28
1.279475,1.52,-0.91,-1.29
1.280427,1.50,-0.90,-1.30
1.280845,1.49,-0.89,-1.31
1.281227,1.47,-0.87,-1.32
1.281586,1.47,-0.86,-1.33
1.281943,1.46,-0.84,-1.34
1.283980,1.45,-0.82,-1.34
1.304395,1.46,-0.78,-1.34
1.305489,1.46,-0.74,-1.34
1.305683,1.47,-0.69,-1.33
1.305887,1.46,-0.64,-1.33
1.306074,1.46,-0.59,-1.33
1.306268,1.45,-0.55,-1.32
1.306462,1.42,-0.49,-1.32
1.306640,1.39,-0.45,-1.31
1.306831,1.35,-0.41,-1.31
1.309607,1.29,-0.36,-1.30
1.312110,1.24,-0.32,-1.30
1.313585,1.19,-0.28,-1.29
1.315489,1.13,-0.24,-1.28
1.317934,1.07,-0.19,-1.28
1.322238,1.01,-0.14,-1.28
1.324121,0.95,-0.09,-1.28
1.326007,0.89,-0.03,-1.27
1.329167,0.82,0.02,-1.26
1.330396,0.75,0.08,-1.23
1.334129,0.69,0.13,-1.20
1.341013,0.63,0.15,-1.16
1.341774,0.57,0.16,-1.11
1.342231,0.53,0.13,-1.05
1.342765,0.49,0.08,-0.98
1.346617,0.44,-0.00,-0.91
1.349799,0.41,-0.10,-0.84
1.351077,0.38,-0.21,-0.77
1.354135,0.34,-0.31,-0.71
1.355488,0.32,-0.40,-0.64
1.359005,0.29,-0.47,-0.58
1.361829,0.24,-0.53,-0.54
1.362553,0.21,-0.58,-0.50
1.365724,0.18,-0.63,-0.48
1.367779,0.16,-0.67,-0.47
1.378925,0.15,-0.72,-0.46
1.380014,0.14,-0.77,-0.46
1.380385,0.14,-0.83,-0.46
1.380763,0.15,-0.88,-0.46
1.381022,0.17,-0.93,-0.46
1.383690,0.19,-0.96,-0.45
1.402691,0.20,-0.99,-0.44
1.403843,0.22,-1.00,-0.42
1.404051,0.24,-1.02,-0.40
1.404248,0.26,-1.04,-0.37
1.404458,0.29,-1.06,-0.35
1.404646,0.30,-1.07,-0.33
1.404825,0.32,-1.08,-0.31
1.405014,0.33,-1.08,-0.30
1.406388,0.34,-1.07,-0.30
1.408408,0.34,-1.05,-0.31
1.409862,0.33,-1.01,-0.32
1.412052,0.32,-0.96,-0.33
1.414675,0.32,-0.91,-0.35
1.418634,0.31,-0.85,-0.36
1.423851,0.30,-0.80,-0.38
1.424547,0.30,-0.75,-0.38
1.424873,0.31,-0.71,-0.38
1.427115,0.32,-0.67,-0.38
1.430641,0.33,-0.64,-0.37
1.433132,0.35,-0.62,-0.36
1.434074,0.38,-0.62,-0.35
1.438398,0.40,-0.62,-0.35
1.441209,0.43,-0.63,-0.35
1.443095,0.46,-0.64,-0.34
1.445755,0.48,-0.65,-0.34
1.446656,0.50,-0.66,-0.35
1.450966,0.52,-0.67,-0.36
